entity_id,period_day,booked_revenue,orders,margin_pct,quality_score,lead_time_days,risk_score
SKU001,51,1992.4,3.9,0.351,64.0,28,50.8
SKU001,52,1662.11,2.7,0.342,64.7,24,51.7
SKU001,53,1239.91,3.6,0.364,67.9,18,44.2
SKU001,54,2319.88,1.8,0.32,68.9,22,58.1
SKU001,55,1593.81,3.4,0.377,59.9,22,45.8
SKU001,56,2291.39,2.5,0.373,68.9,25,55.9
SKU001,57,2113.57,3.8,0.344,62.2,25,59.8
SKU001,58,2332.31,1.9,0.329,62.2,29,46.3
SKU001,59,1520.83,2.0,0.335,67.8,22,51.3
SKU001,60,1666.78,1.5,0.369,70.8,28,42.3
SKU001,61,1691.56,3.8,0.322,63.4,23,48.3
SKU001,62,1764.93,1.6,0.325,61.7,22,49.4
SKU001,63,1943.78,4.0,0.366,68.2,20,52.2
SKU001,64,1679.41,2.6,0.32,69.0,25,45.0
SKU001,65,1438.53,3.5,0.343,65.6,20,46.8
SKU001,66,1829.17,3.8,0.311,70.8,21,52.4
SKU001,67,1506.11,5.2,0.339,62.7,23,45.2
SKU001,68,1228.7,3.3,0.395,60.3,25,43.6
SKU001,69,1403.73,3.0,0.37,63.1,26,48.1
SKU001,70,989.02,3.4,0.359,69.5,21,59.1
SKU001,71,1435.17,1.1,0.34,63.3,24,54.4
SKU001,72,1917.08,1.8,0.355,59.2,28,45.2
SKU001,73,1602.18,1.3,0.348,62.8,19,55.7
SKU001,74,1082.15,4.7,0.349,64.9,25,46.2
SKU001,75,1300.97,1.5,0.327,63.0,29,58.6
SKU001,76,1406.48,1.4,0.357,64.2,26,47.3
SKU001,77,1168.64,4.5,0.317,65.9,28,44.4
SKU001,78,2067.48,1.1,0.367,61.4,27,45.4
SKU001,79,2135.86,4.6,0.372,59.0,27,55.5
SKU001,80,962.44,1.6,0.34,69.4,22,45.5
SKU001,81,1001.92,1.5,0.347,59.1,23,45.9
SKU001,82,1780.41,2.8,0.34,59.8,23,45.9
SKU001,83,1259.53,5.2,0.382,68.9,25,42.4
SKU001,84,1313.09,2.8,0.378,70.5,21,55.4
SKU001,85,1721.57,2.0,0.366,61.5,22,44.4
SKU001,86,1685.57,3.2,0.348,67.9,21,50.4
SKU001,87,1850.3,1.1,0.335,70.1,26,47.8
SKU001,88,1253.22,4.0,0.328,60.3,21,48.5
SKU001,89,1347.65,2.0,0.342,65.2,27,52.2
SKU001,90,1414.06,1.0,0.35,59.0,23,42.5
SKU001,91,1277.67,5.2,0.303,63.6,26,54.6
SKU001,92,1663.32,2.1,0.35,67.8,23,56.8
SKU001,93,1396.97,5.0,0.373,69.9,22,50.5
SKU001,94,1575.09,3.9,0.337,67.5,22,49.7
SKU001,95,1677.87,2.0,0.337,61.9,16,44.2
SKU001,96,1908.65,2.2,0.354,60.5,20,59.0
SKU001,97,1828.1,4.4,0.351,70.6,22,46.5
SKU001,98,1490.06,1.3,0.334,62.3,23,55.6
SKU001,99,1732.21,2.6,0.34,62.7,31,58.1
SKU001,100,1853.99,3.3,0.343,60.7,22,53.3
SKU001,101,1732.53,4.8,0.34,64.0,26,47.6
SKU001,102,1350.51,3.9,0.338,61.5,21,54.6
SKU001,103,1877.23,4.6,0.356,59.2,26,50.1
SKU001,104,1708.83,4.9,0.351,66.0,24,56.2
SKU001,105,1665.34,1.5,0.329,65.6,19,45.3
SKU001,106,1495.44,2.6,0.355,63.5,28,50.7
SKU001,107,1096.07,2.3,0.346,64.3,24,48.7
SKU001,108,1516.85,1.3,0.349,65.5,26,56.7
SKU001,109,2079.63,4.7,0.307,70.6,28,44.2
SKU001,110,1520.59,5.0,0.349,66.8,20,44.1
SKU001,111,1113.44,3.8,0.354,68.8,24,42.2
SKU001,112,2010.54,5.0,0.361,69.4,21,41.8
SKU001,113,1535.18,2.0,0.317,62.1,26,44.0
SKU001,114,2173.29,2.8,0.356,60.6,23,49.4
SKU001,115,1256.59,1.6,0.352,66.0,23,41.7
SKU001,116,1899.67,1.7,0.352,62.3,21,47.1
SKU001,117,1952.43,1.7,0.341,66.6,25,56.6
SKU001,118,2032.54,1.8,0.366,65.7,21,44.8
SKU001,119,2236.14,2.1,0.357,66.3,20,48.2
SKU001,120,2020.68,2.8,0.356,63.1,25,48.3
SKU001,121,1133.28,1.8,0.358,68.2,30,57.9
SKU001,122,2089.16,1.4,0.351,59.7,20,47.5
SKU001,123,1786.07,2.9,0.334,61.9,24,49.2
SKU001,124,2424.97,4.5,0.328,69.0,24,53.6
SKU001,125,1959.66,1.9,0.32,66.8,26,47.1
SKU001,126,1513.05,3.0,0.348,59.1,22,53.9
SKU001,127,2017.81,3.1,0.339,67.1,26,52.4
SKU001,128,2399.2,1.8,0.317,64.9,27,47.6
SKU001,129,1977.26,5.2,0.332,63.5,21,52.3
SKU001,130,1445.66,1.2,0.358,67.8,24,52.4
SKU001,131,2182.68,4.5,0.315,66.7,23,58.1
SKU001,132,1570.85,5.2,0.369,65.1,21,57.2
SKU001,133,2196.57,1.4,0.352,60.0,20,46.6
SKU001,134,1252.11,2.8,0.368,62.0,23,48.6
SKU001,135,2261.04,4.3,0.327,65.7,20,51.8
SKU001,136,2142.95,0.8,0.342,64.3,26,53.8
SKU001,137,1778.69,1.7,0.353,62.5,21,57.7
SKU001,138,1278.28,2.2,0.38,61.4,28,54.8
SKU001,139,2467.41,5.3,0.311,70.0,22,42.6
SKU001,140,1389.45,4.8,0.342,68.4,25,53.1
SKU001,141,1632.73,2.4,0.313,61.8,22,56.1
SKU001,142,1474.63,3.1,0.347,70.6,25,49.7
SKU001,143,2376.8,4.1,0.326,61.3,22,55.9
SKU001,144,1516.17,1.1,0.356,68.8,24,58.0
SKU001,145,2337.67,4.9,0.369,59.8,20,48.9
SKU001,146,2410.76,1.6,0.349,63.0,19,43.0
SKU001,147,1960.55,4.5,0.353,68.5,22,53.1
SKU001,148,1444.04,4.4,0.35,61.3,21,44.6
SKU001,149,2063.69,1.5,0.375,64.5,24,58.2
SKU001,150,1467.57,3.5,0.323,68.4,19,41.4
SKU001,151,2503.97,3.2,0.346,70.0,27,55.7
SKU001,152,2549.84,3.2,0.354,69.0,20,55.2
SKU001,153,1599.67,2.2,0.339,59.8,24,47.1
SKU001,154,2059.92,3.4,0.351,59.5,21,47.5
SKU001,155,1822.86,1.0,0.374,64.9,24,53.9
SKU001,156,2492.46,2.1,0.34,63.3,25,42.6
SKU001,157,2345.02,2.5,0.339,60.1,29,46.7
SKU001,158,1682.67,4.7,0.34,60.7,25,44.8
SKU001,159,2387.93,1.6,0.349,67.4,26,57.1
SKU001,160,2102.79,3.5,0.32,66.0,27,55.0
SKU001,161,1158.62,2.6,0.333,63.1,19,43.6
SKU001,162,1458.96,5.3,0.354,66.1,29,57.8
SKU001,163,1427.46,4.6,0.326,70.1,24,58.2
SKU001,164,2227.52,1.2,0.365,61.6,20,46.8
SKU001,165,1837.04,1.5,0.349,68.0,27,59.4
SKU001,166,1858.98,4.8,0.366,66.6,26,55.0
SKU001,167,2449.4,1.6,0.32,69.8,23,54.7
SKU001,168,1841.58,1.5,0.35,61.3,20,52.9
SKU001,169,2006.83,2.9,0.327,66.1,25,58.6
SKU001,170,2318.49,3.1,0.343,59.2,27,43.4
SKU001,171,2042.92,4.3,0.308,68.3,30,54.5
SKU001,172,2113.22,1.0,0.373,68.9,26,58.7
SKU001,173,2188.3,3.8,0.334,63.8,32,49.9
SKU001,174,2200.59,0.9,0.338,70.6,18,54.6
SKU001,175,1830.26,1.0,0.337,60.6,23,58.3
SKU001,176,1039.15,5.2,0.33,65.3,31,42.8
SKU001,177,1668.67,3.3,0.352,59.9,20,59.2
SKU001,178,1623.89,5.3,0.352,67.0,29,54.5
SKU001,179,1110.29,3.9,0.328,70.8,22,54.3
SKU001,180,1030.84,3.1,0.353,64.1,28,47.4
SKU002,1,2301.14,4.8,0.413,84.7,19,50.1
SKU002,2,2566.07,1.9,0.42,83.6,19,52.9
SKU002,3,3270.37,3.5,0.397,86.4,23,41.2
SKU002,4,2868.92,1.8,0.429,79.2,24,45.2
SKU002,5,1817.89,2.2,0.381,85.0,24,41.2
SKU002,6,3158.82,3.6,0.415,82.2,21,53.6
SKU002,7,2261.6,2.9,0.412,83.9,23,43.7
SKU002,8,3327.99,2.0,0.411,81.3,20,41.9
SKU002,9,1718.33,2.1,0.429,79.9,21,48.4
SKU002,10,3034.73,3.4,0.394,83.6,17,52.1
SKU002,11,2821.71,3.2,0.403,80.0,17,46.6
SKU002,12,2776.43,4.1,0.423,86.4,16,53.0
SKU002,13,2449.03,3.2,0.394,83.2,18,52.2
SKU002,14,2552.28,1.6,0.362,81.7,21,47.5
SKU002,15,2620.22,4.1,0.423,78.3,20,43.7
SKU002,16,1824.24,4.1,0.423,83.0,21,37.6
SKU002,17,3665.77,3.7,0.396,85.5,22,37.4
SKU002,18,2367.71,3.1,0.399,83.3,16,48.0
SKU002,19,2295.27,2.4,0.422,79.0,21,53.0
SKU002,20,2680.64,3.6,0.421,79.0,25,41.3
SKU002,21,2309.41,3.8,0.4,85.4,16,53.6
SKU002,22,1962.95,2.1,0.4,82.4,20,46.0
SKU002,23,2591.74,3.0,0.414,76.5,24,53.5
SKU002,24,2822.08,4.7,0.389,83.5,23,38.7
SKU002,25,1749.04,0.8,0.401,82.9,26,44.9
SKU002,26,2284.13,4.3,0.426,88.1,16,53.5
SKU002,27,2747.75,2.5,0.441,76.8,15,42.5
SKU002,28,2586.55,4.1,0.396,79.5,23,49.1
SKU002,29,2667.36,4.3,0.417,78.3,25,38.0
SKU002,30,3886.33,1.5,0.424,87.6,22,37.9
SKU002,31,2390.17,4.3,0.379,83.6,21,48.2
SKU002,32,1933.24,4.7,0.403,81.4,17,40.8
SKU002,33,2417.75,1.3,0.399,82.0,21,52.7
SKU002,34,2633.25,3.1,0.418,85.1,20,52.3
SKU002,35,1835.54,3.4,0.401,82.1,25,48.6
SKU002,36,3201.23,5.1,0.413,83.3,19,42.3
SKU002,37,2126.24,1.9,0.412,86.7,19,40.2
SKU002,38,3439.24,4.7,0.388,85.0,19,52.0
SKU002,39,2367.23,2.8,0.437,88.2,23,37.3
SKU002,40,2893.78,4.1,0.413,77.5,23,49.5
SKU002,41,2611.65,2.8,0.407,77.7,16,40.7
SKU002,42,1825.01,0.8,0.412,80.2,20,50.5
SKU002,43,3139.82,1.2,0.409,82.7,21,41.2
SKU002,44,2692.27,4.0,0.388,77.5,24,44.1
SKU002,45,2839.97,1.3,0.38,81.4,29,46.0
SKU002,46,2342.22,2.8,0.4,78.2,19,53.7
SKU002,47,1801.5,1.9,0.393,79.0,19,48.8
SKU002,48,2103.74,4.6,0.391,80.9,21,45.8
SKU002,49,3595.23,3.8,0.402,88.1,21,40.1
SKU002,50,3388.91,2.9,0.38,81.7,20,47.9
SKU002,51,2548.88,3.8,0.389,85.9,24,50.4
SKU002,52,3038.48,1.8,0.378,84.4,20,37.1
SKU002,53,3494.31,4.7,0.398,77.6,20,37.8
SKU002,54,2275.65,3.0,0.423,78.2,20,41.0
SKU002,55,1679.57,1.8,0.406,86.7,25,38.9
SKU002,56,2220.6,2.5,0.391,85.3,19,44.0
SKU002,57,2956.09,3.3,0.396,79.7,21,40.9
SKU002,58,3405.93,2.7,0.41,79.7,15,48.6
SKU002,59,1605.08,3.5,0.418,80.5,19,50.7
SKU002,60,1872.83,3.8,0.399,83.1,22,39.7
SKU002,61,2125.73,1.2,0.43,82.2,16,40.3
SKU002,62,1707.09,2.1,0.404,84.1,22,47.9
SKU002,63,2011.06,2.4,0.402,83.3,25,41.7
SKU002,64,1661.53,2.6,0.376,86.7,21,42.9
SKU002,65,1699.22,4.0,0.405,83.5,18,38.2
SKU002,66,3078.7,3.7,0.427,81.1,24,45.9
SKU002,67,2149.73,1.5,0.383,77.8,24,49.5
SKU002,68,3282.05,1.6,0.388,85.3,23,53.7
SKU002,69,1821.4,5.1,0.438,84.3,24,53.2
SKU002,70,3130.87,4.8,0.425,82.4,22,50.3
SKU002,71,2585.44,3.4,0.405,84.3,20,45.1
SKU002,72,3106.16,0.9,0.43,85.1,24,46.0
SKU002,73,1506.69,3.5,0.412,81.2,19,51.3
SKU002,74,2384.26,5.0,0.444,76.5,26,45.1
SKU002,75,2530.23,1.7,0.399,84.1,22,38.9
SKU002,76,1418.52,5.0,0.423,82.5,19,42.1
SKU002,77,2804.57,4.5,0.426,84.4,25,44.3
SKU002,78,1847.57,1.1,0.391,78.4,19,49.8
SKU002,79,2029.71,2.4,0.455,85.7,20,37.3
SKU002,80,1794.57,2.1,0.396,79.1,16,48.6
SKU002,81,2767.87,4.5,0.376,85.4,20,43.6
SKU002,82,2533.43,2.3,0.387,84.5,20,46.8
SKU002,83,1689.05,2.1,0.409,79.1,24,49.2
SKU002,84,1860.33,4.3,0.407,84.4,17,37.7
SKU002,85,2830.74,4.9,0.441,76.3,24,53.3
SKU002,86,1800.6,4.0,0.408,87.2,22,42.7
SKU002,87,2282.79,3.6,0.432,83.2,16,53.7
SKU002,88,2879.27,4.1,0.391,87.9,29,54.0
SKU002,89,2460.72,4.6,0.383,76.6,21,53.8
SKU002,90,1383.66,1.9,0.428,87.8,19,37.7
SKU002,91,2117.77,4.5,0.379,83.6,23,53.5
SKU002,92,2596.48,4.0,0.41,76.8,19,41.1
SKU002,93,2100.15,2.4,0.364,78.5,22,42.4
SKU002,94,2822.73,2.2,0.441,87.7,18,45.5
SKU002,95,2892.85,1.2,0.408,82.6,18,53.6
SKU002,96,2395.41,2.4,0.392,87.4,24,43.2
SKU002,97,2983.98,2.0,0.431,76.3,23,44.6
SKU002,98,2502.36,1.5,0.392,87.6,17,45.4
SKU002,99,2334.08,4.1,0.425,79.1,24,37.6
SKU002,100,2419.54,2.5,0.407,82.9,18,53.2
SKU002,101,2999.11,4.2,0.419,76.7,24,37.4
SKU002,102,2306.76,2.8,0.388,77.5,22,41.6
SKU002,103,2101.05,1.5,0.384,81.3,21,42.1
SKU002,104,2619.24,4.8,0.401,82.3,20,38.2
SKU002,105,2702.42,1.5,0.405,84.1,24,42.2
SKU002,106,1722.93,2.1,0.418,86.3,17,50.8
SKU002,107,2542.23,1.8,0.419,82.9,22,39.6
SKU002,108,2022.77,1.9,0.433,83.1,18,42.4
SKU002,109,3317.18,4.7,0.41,79.5,27,37.5
SKU002,110,3008.41,2.2,0.41,87.2,15,37.5
SKU002,111,1644.87,0.8,0.393,76.9,19,52.1
SKU002,112,2466.11,5.0,0.388,77.0,27,42.2
SKU002,113,1803.46,4.3,0.437,76.6,18,53.8
SKU002,114,1925.8,1.6,0.43,81.7,20,38.4
SKU002,115,2581.48,1.9,0.404,76.6,24,42.4
SKU002,116,1675.51,5.1,0.409,81.3,15,39.8
SKU002,117,1852.77,4.7,0.412,76.8,20,46.1
SKU002,118,2961.08,2.3,0.377,81.4,20,46.3
SKU002,119,3355.86,3.2,0.347,87.4,21,52.6
SKU002,120,2196.39,2.4,0.395,78.9,17,46.0
SKU002,121,2693.61,1.8,0.427,87.2,21,39.8
SKU002,122,3570.93,4.9,0.403,78.0,18,41.7
SKU002,123,1784.89,1.3,0.429,80.5,23,41.6
SKU002,124,2043.14,1.6,0.413,82.1,20,45.7
SKU002,125,3717.74,3.8,0.45,83.7,23,46.6
SKU002,126,3444.79,3.8,0.401,83.8,20,47.5
SKU002,127,3695.18,2.0,0.421,77.5,17,43.9
SKU002,128,3437.43,2.6,0.385,76.3,20,44.4
SKU002,129,3561.91,3.6,0.395,83.6,21,50.4
SKU002,130,2364.42,2.3,0.396,78.4,19,50.7
SKU002,131,3845.52,4.0,0.397,77.3,21,44.1
SKU002,132,1776.52,4.9,0.402,86.3,19,43.8
SKU002,133,3711.72,0.9,0.408,86.3,25,45.1
SKU002,134,2145.37,4.5,0.417,81.7,21,39.7
SKU002,135,2180.69,3.0,0.408,85.9,16,53.8
SKU002,136,2948.78,3.1,0.407,85.8,19,46.0
SKU002,137,2745.68,3.8,0.418,87.6,22,44.7
SKU002,138,2213.61,3.2,0.415,80.8,24,49.0
SKU002,139,2886.57,3.0,0.383,80.8,20,40.7
SKU002,140,2442.27,4.8,0.41,78.5,21,49.6
SKU002,141,2049.18,2.6,0.402,83.8,19,49.0
SKU002,142,3110.22,4.3,0.401,79.4,25,47.2
SKU002,143,3241.62,4.4,0.368,76.5,20,39.8
SKU002,144,2178.26,2.9,0.376,79.3,21,47.4
SKU002,145,3513.11,3.4,0.429,87.0,19,42.2
SKU002,146,3664.26,1.3,0.361,78.5,19,53.7
SKU002,147,3353.7,0.9,0.435,83.2,19,44.4
SKU002,148,3252.13,4.4,0.438,86.3,15,44.1
SKU002,149,2185.32,2.5,0.409,80.6,17,40.7
SKU002,150,3866.94,3.7,0.421,77.4,24,40.3
SKU002,151,3199.87,4.0,0.404,85.0,23,39.1
SKU002,152,2263.6,2.0,0.417,84.2,20,40.6
SKU002,153,3371.8,4.0,0.413,86.5,19,41.9
SKU002,154,1762.26,2.2,0.406,83.9,21,46.3
SKU002,155,2886.08,3.8,0.411,82.5,13,49.5
SKU002,156,2059.87,2.8,0.429,84.3,22,48.2
SKU002,157,1772.13,3.8,0.376,85.0,21,38.2
SKU002,158,2065.16,2.6,0.383,80.6,18,44.5
SKU002,159,3783.61,4.0,0.421,81.8,24,43.0
SKU002,160,2567.43,2.8,0.409,83.9,19,38.0
SKU002,161,2836.14,1.1,0.394,78.6,19,42.6
SKU002,162,2183.62,3.1,0.414,82.4,14,40.6
SKU002,163,2602.09,1.8,0.413,87.6,17,38.2
SKU002,164,3382.59,4.6,0.388,80.3,18,42.1
SKU002,165,2071.37,2.6,0.408,82.1,22,46.4
SKU002,166,3014.74,1.1,0.412,77.5,21,48.7
SKU002,167,2180.42,4.9,0.366,81.7,18,44.9
SKU002,168,3010.24,4.7,0.39,85.1,21,52.6
SKU002,169,2692.19,3.8,0.398,77.9,22,54.0
SKU002,170,2881.01,3.4,0.378,79.7,21,53.7
SKU002,171,2700.62,3.3,0.373,83.7,22,53.0
SKU002,172,2847.42,0.8,0.418,87.4,17,41.9
SKU002,173,2993.17,5.1,0.404,77.7,17,48.6
SKU002,174,2100.68,4.0,0.433,84.1,17,51.0
SKU002,175,2157.58,4.8,0.407,86.9,21,38.7
SKU002,176,2376.15,4.8,0.41,79.6,21,45.0
SKU002,177,1883.04,1.9,0.364,85.1,22,40.4
SKU002,178,2480.41,3.9,0.388,80.1,23,51.9
SKU002,179,3136.34,1.2,0.42,83.5,20,40.3
SKU002,180,2512.32,4.7,0.412,82.5,18,38.0
SKU003,1,731.71,2.0,0.387,73.0,26,27.6
SKU003,2,876.32,1.6,0.383,75.4,24,29.2
SKU003,3,714.57,4.6,0.43,74.1,28,36.5
SKU003,4,680.64,6.5,0.387,77.0,26,32.1
SKU003,5,713.42,5.5,0.416,68.3,26,27.1
SKU003,6,1412.94,2.2,0.417,76.7,34,36.7
SKU003,7,1050.35,3.4,0.408,76.7,35,29.9
SKU003,8,965.27,3.1,0.445,76.5,28,33.3
SKU003,9,983.87,6.4,0.413,74.7,27,37.8
SKU003,10,1162.01,3.7,0.407,73.4,23,38.4
SKU003,11,1139.03,2.8,0.42,68.3,27,32.1
SKU003,12,1029.98,2.9,0.446,77.3,30,29.9
SKU003,13,804.73,3.8,0.395,75.9,24,32.9
SKU003,14,1367.63,1.7,0.43,76.7,29,34.1
SKU003,15,1144.2,7.2,0.404,79.4,29,37.2
SKU003,16,1034.7,2.3,0.399,80.2,26,34.1
SKU003,17,1378.48,3.5,0.413,69.9,30,37.0
SKU003,18,797.78,5.2,0.413,77.1,23,33.0
SKU003,19,1543.48,5.4,0.384,73.4,29,29.1
SKU003,20,1400.27,2.2,0.424,69.7,21,33.2
SKU003,21,821.91,3.3,0.38,73.9,24,36.5
SKU003,22,780.16,4.5,0.386,78.7,33,27.2
SKU003,23,1145.69,3.9,0.408,80.2,23,34.7
SKU003,24,1057.88,7.1,0.408,76.6,27,27.8
SKU003,25,1393.67,5.8,0.404,69.0,28,38.3
SKU003,26,973.66,7.7,0.395,77.9,24,36.3
SKU003,27,834.46,7.6,0.4,78.9,30,27.2
SKU003,28,1230.84,7.9,0.414,71.4,28,32.9
SKU003,29,1400.65,5.3,0.406,72.7,30,36.8
SKU003,30,1585.17,7.9,0.383,73.0,28,39.4
SKU003,31,1552.42,3.2,0.412,77.3,22,36.5
SKU003,32,1211.23,7.0,0.411,69.5,26,28.8
SKU003,33,891.42,2.9,0.4,78.0,23,39.4
SKU003,34,1515.65,6.3,0.386,79.3,28,31.7
SKU003,35,1130.62,2.1,0.414,72.2,24,32.0
SKU003,36,1319.15,4.2,0.419,78.7,30,38.9
SKU003,37,735.34,1.9,0.38,72.9,28,32.2
SKU003,38,793.64,5.9,0.379,73.7,30,34.2
SKU003,39,1056.05,4.0,0.37,75.7,27,37.4
SKU003,40,1106.39,2.1,0.417,69.1,27,29.1
SKU003,41,1111.33,6.7,0.442,76.3,30,38.1
SKU003,42,1209.72,3.5,0.399,68.5,25,38.5
SKU003,43,768.77,7.6,0.442,71.2,29,38.8
SKU003,44,1127.77,5.1,0.411,75.8,23,31.2
SKU003,45,806.36,5.5,0.402,75.7,28,31.2
SKU003,46,1307.85,6.3,0.397,78.7,30,36.5
SKU003,47,1482.6,4.0,0.401,78.3,30,27.6
SKU003,48,920.75,7.3,0.435,73.9,30,36.3
SKU003,49,1350.81,6.5,0.444,70.8,32,27.3
SKU003,50,1039.07,2.9,0.39,75.3,27,33.9
SKU003,51,1104.18,2.9,0.422,72.5,24,38.4
SKU003,52,1319.52,2.2,0.373,76.8,22,33.8
SKU003,53,954.14,7.3,0.389,77.6,25,29.7
SKU003,54,772.28,2.2,0.415,69.6,28,35.8
SKU003,55,1240.0,7.1,0.406,73.7,22,36.8
SKU003,56,923.8,3.5,0.415,70.0,25,32.0
SKU003,57,825.6,5.5,0.424,78.7,21,33.7
SKU003,58,1363.95,4.4,0.425,78.1,24,32.5
SKU003,59,896.89,5.5,0.376,76.9,27,31.1
SKU003,60,746.64,3.9,0.405,77.6,29,36.7
SKU003,61,1196.18,1.6,0.361,76.3,26,29.8
SKU003,62,707.98,5.9,0.414,79.4,27,28.6
SKU003,63,832.48,4.1,0.395,74.0,28,33.5
SKU003,64,1250.91,6.6,0.421,80.0,28,35.9
SKU003,65,1338.87,3.1,0.395,76.1,30,33.9
SKU003,66,919.52,6.2,0.388,71.9,23,34.7
SKU003,67,1026.14,5.7,0.406,70.8,28,39.3
SKU003,68,617.5,3.4,0.409,78.8,26,34.2
SKU003,69,1325.53,4.4,0.371,77.9,27,36.2
SKU003,70,702.61,6.6,0.403,79.7,31,35.6
SKU003,71,593.14,4.8,0.404,79.9,28,33.7
SKU003,72,1242.98,6.7,0.384,71.4,24,35.2
SKU003,73,1173.75,1.6,0.414,72.9,34,30.9
SKU003,74,696.17,3.0,0.415,68.8,30,32.8
SKU003,75,811.62,3.4,0.386,73.2,24,37.4
SKU003,76,1239.05,8.0,0.394,79.8,32,39.2
SKU003,77,1060.5,4.6,0.396,79.8,30,37.4
SKU003,78,742.83,5.9,0.403,72.4,26,34.6
SKU003,79,1198.73,2.1,0.391,73.7,23,30.6
SKU003,80,961.97,1.8,0.383,68.9,26,28.5
SKU003,81,666.68,7.1,0.358,68.3,27,33.9
SKU003,82,1027.15,2.4,0.41,78.0,23,33.8
SKU003,83,1013.49,7.6,0.387,68.8,25,32.0
SKU003,84,1042.94,5.8,0.389,77.5,25,30.9
SKU003,85,1066.52,6.7,0.389,70.0,27,29.9
SKU003,86,824.84,3.6,0.373,76.4,30,31.0
SKU003,87,1123.06,3.4,0.42,77.1,24,28.1
SKU003,88,641.85,7.9,0.405,79.0,30,38.6
SKU003,89,713.21,8.0,0.406,75.4,28,34.4
SKU003,90,1265.25,1.4,0.417,70.1,27,30.7
SKU003,91,1187.93,6.4,0.386,70.4,28,37.0
SKU003,92,1288.05,3.9,0.407,69.3,20,29.5
SKU003,93,937.38,7.5,0.407,71.1,31,29.9
SKU003,94,627.72,3.8,0.411,77.9,30,32.9
SKU003,95,985.52,2.6,0.398,70.6,27,35.6
SKU003,96,599.44,7.4,0.41,74.5,27,28.8
SKU003,97,882.27,4.8,0.378,71.3,28,27.3
SKU003,98,1059.26,2.2,0.43,78.4,24,39.4
SKU003,99,1086.17,5.3,0.377,73.9,23,34.1
SKU003,100,1325.49,3.5,0.381,74.2,26,35.0
SKU003,101,1059.2,4.6,0.4,74.8,27,33.5
SKU003,102,822.1,3.3,0.405,70.0,31,36.6
SKU003,103,784.48,8.0,0.399,69.1,28,33.4
SKU003,104,788.04,3.7,0.397,76.4,34,33.5
SKU003,105,877.77,4.1,0.419,72.5,27,38.3
