event_id,entity_id,event_type,severity,estimated_impact,note
EVT0024,SKU025,Collateral gap,Watch,72164.26,Collateral gap tied to acoustic baffles portfolio decision
EVT0025,SKU025,Quality signal,Medium,84965.1,Quality signal tied to acoustic baffles portfolio decision
EVT0026,SKU025,Quality signal,Medium,21797.91,Quality signal tied to acoustic baffles portfolio decision
EVT0027,SKU021,Quality signal,Watch,44028.94,Quality signal tied to acoustic baffles portfolio decision
EVT0028,SKU021,Collateral gap,High,39985.88,Collateral gap tied to acoustic baffles portfolio decision
EVT0029,SKU021,Sales ask,Medium,45093.73,Sales ask tied to acoustic baffles portfolio decision
EVT0030,SKU021,Collateral gap,Watch,67841.57,Collateral gap tied to acoustic baffles portfolio decision
EVT0031,SKU021,Quality signal,Watch,57038.92,Quality signal tied to acoustic baffles portfolio decision
EVT0032,SKU021,Ops exception,Medium,74576.74,Ops exception tied to acoustic baffles portfolio decision
EVT0033,SKU021,Engineering review,Medium,45725.06,Engineering review tied to acoustic baffles portfolio decision
EVT0034,SKU011,Sales ask,Medium,20784.46,Sales ask tied to architectural downlights portfolio decision
EVT0035,SKU011,Collateral gap,Medium,12171.0,Collateral gap tied to architectural downlights portfolio decision
EVT0036,SKU011,Ops exception,Watch,44871.36,Ops exception tied to architectural downlights portfolio decision
EVT0037,SKU011,Sales ask,High,63938.96,Sales ask tied to architectural downlights portfolio decision
EVT0038,SKU011,Customer quote,Medium,76236.55,Customer quote tied to architectural downlights portfolio decision
EVT0039,SKU011,Customer quote,High,19187.46,Customer quote tied to architectural downlights portfolio decision
EVT0040,SKU011,Ops exception,Medium,77282.66,Ops exception tied to architectural downlights portfolio decision
EVT0041,SKU011,Engineering review,Medium,76772.52,Engineering review tied to architectural downlights portfolio decision
EVT0042,SKU020,Quality signal,Watch,10467.99,Quality signal tied to acoustic pendants portfolio decision
EVT0043,SKU020,Ops exception,Medium,43941.99,Ops exception tied to acoustic pendants portfolio decision
EVT0044,SKU020,Sales ask,Watch,54611.32,Sales ask tied to acoustic pendants portfolio decision
EVT0045,SKU020,Quality signal,High,58653.61,Quality signal tied to acoustic pendants portfolio decision
EVT0046,SKU020,Sales ask,Medium,44551.37,Sales ask tied to acoustic pendants portfolio decision
EVT0047,SKU020,Customer quote,Medium,70419.07,Customer quote tied to acoustic pendants portfolio decision
EVT0048,SKU012,Ops exception,Watch,54567.41,Ops exception tied to architectural downlights portfolio decision
EVT0049,SKU012,Quality signal,Medium,18722.63,Quality signal tied to architectural downlights portfolio decision
EVT0050,SKU012,Sales ask,Medium,78104.6,Sales ask tied to architectural downlights portfolio decision
EVT0051,SKU012,Customer quote,Medium,54636.1,Customer quote tied to architectural downlights portfolio decision
EVT0052,SKU012,Quality signal,Medium,73685.94,Quality signal tied to architectural downlights portfolio decision
EVT0053,SKU012,Customer quote,Medium,78414.95,Customer quote tied to architectural downlights portfolio decision
EVT0054,SKU040,Quality signal,Medium,13843.94,Quality signal tied to controls ready kits portfolio decision
EVT0055,SKU040,Quality signal,Medium,15995.72,Quality signal tied to controls ready kits portfolio decision
EVT0056,SKU040,Sales ask,Medium,77438.25,Sales ask tied to controls ready kits portfolio decision
EVT0057,SKU040,Quality signal,Medium,69401.95,Quality signal tied to controls ready kits portfolio decision
EVT0058,SKU040,Sales ask,Medium,52125.8,Sales ask tied to controls ready kits portfolio decision
EVT0059,SKU040,Engineering review,Medium,64788.19,Engineering review tied to controls ready kits portfolio decision
EVT0060,SKU040,Ops exception,High,15867.72,Ops exception tied to controls ready kits portfolio decision
EVT0061,SKU040,Quality signal,High,34671.39,Quality signal tied to controls ready kits portfolio decision
EVT0062,SKU022,Ops exception,Watch,72004.06,Ops exception tied to acoustic baffles portfolio decision
EVT0063,SKU022,Quality signal,Medium,40564.18,Quality signal tied to acoustic baffles portfolio decision
EVT0064,SKU022,Ops exception,Watch,19925.42,Ops exception tied to acoustic baffles portfolio decision
EVT0065,SKU022,Collateral gap,Medium,58623.84,Collateral gap tied to acoustic baffles portfolio decision
EVT0066,SKU022,Quality signal,Watch,44144.33,Quality signal tied to acoustic baffles portfolio decision
EVT0067,SKU022,Customer quote,Watch,17585.44,Customer quote tied to acoustic baffles portfolio decision
EVT0068,SKU022,Ops exception,High,61035.3,Ops exception tied to acoustic baffles portfolio decision
EVT0069,SKU022,Engineering review,High,58711.1,Engineering review tied to acoustic baffles portfolio decision
EVT0070,SKU008,Sales ask,High,68316.04,Sales ask tied to suspended linear portfolio decision
EVT0071,SKU008,Collateral gap,Medium,24073.52,Collateral gap tied to suspended linear portfolio decision
EVT0072,SKU008,Quality signal,Medium,38656.12,Quality signal tied to suspended linear portfolio decision
EVT0073,SKU008,Collateral gap,High,69298.08,Collateral gap tied to suspended linear portfolio decision
EVT0074,SKU008,Collateral gap,Medium,25869.15,Collateral gap tied to suspended linear portfolio decision
EVT0075,SKU008,Collateral gap,Medium,73891.82,Collateral gap tied to suspended linear portfolio decision
EVT0076,SKU008,Sales ask,Watch,14963.41,Sales ask tied to suspended linear portfolio decision
EVT0077,SKU008,Customer quote,Watch,20545.38,Customer quote tied to suspended linear portfolio decision
EVT0078,SKU027,Collateral gap,Watch,13644.29,Collateral gap tied to healthcare luminaires portfolio decision
EVT0079,SKU027,Customer quote,Medium,40712.02,Customer quote tied to healthcare luminaires portfolio decision
EVT0080,SKU027,Engineering review,Medium,50851.35,Engineering review tied to healthcare luminaires portfolio decision
EVT0081,SKU027,Ops exception,Medium,65627.07,Ops exception tied to healthcare luminaires portfolio decision
EVT0082,SKU027,Engineering review,High,50164.41,Engineering review tied to healthcare luminaires portfolio decision
EVT0083,SKU027,Quality signal,Watch,25283.69,Quality signal tied to healthcare luminaires portfolio decision
EVT0084,SKU027,Sales ask,Medium,9074.12,Sales ask tied to healthcare luminaires portfolio decision
EVT0085,SKU010,Ops exception,Watch,75081.94,Ops exception tied to suspended linear portfolio decision
EVT0086,SKU010,Customer quote,High,14258.33,Customer quote tied to suspended linear portfolio decision
EVT0087,SKU010,Customer quote,Medium,39116.78,Customer quote tied to suspended linear portfolio decision
EVT0088,SKU010,Quality signal,Watch,15540.88,Quality signal tied to suspended linear portfolio decision
EVT0089,SKU010,Engineering review,Medium,60224.91,Engineering review tied to suspended linear portfolio decision
EVT0090,SKU010,Ops exception,Watch,36665.06,Ops exception tied to suspended linear portfolio decision
EVT0091,SKU010,Collateral gap,Medium,48390.84,Collateral gap tied to suspended linear portfolio decision
EVT0092,SKU010,Quality signal,High,44055.74,Quality signal tied to suspended linear portfolio decision
EVT0093,SKU033,Collateral gap,High,77402.55,Collateral gap tied to contractor packages portfolio decision
EVT0094,SKU033,Ops exception,Medium,53065.96,Ops exception tied to contractor packages portfolio decision
EVT0095,SKU033,Ops exception,Medium,62205.22,Ops exception tied to contractor packages portfolio decision
EVT0096,SKU033,Ops exception,Watch,32931.58,Ops exception tied to contractor packages portfolio decision
EVT0097,SKU033,Engineering review,Medium,62671.39,Engineering review tied to contractor packages portfolio decision
EVT0098,SKU033,Quality signal,Medium,39631.7,Quality signal tied to contractor packages portfolio decision
EVT0099,SKU033,Quality signal,Medium,33072.75,Quality signal tied to contractor packages portfolio decision
EVT0100,SKU030,Quality signal,Watch,17537.87,Quality signal tied to healthcare luminaires portfolio decision
EVT0101,SKU030,Sales ask,Medium,46493.24,Sales ask tied to healthcare luminaires portfolio decision
EVT0102,SKU030,Sales ask,Watch,46124.64,Sales ask tied to healthcare luminaires portfolio decision
EVT0103,SKU030,Collateral gap,Medium,47907.07,Collateral gap tied to healthcare luminaires portfolio decision
EVT0104,SKU001,Customer quote,Medium,43033.1,Customer quote tied to recessed linear portfolio decision
EVT0105,SKU001,Engineering review,High,30227.97,Engineering review tied to recessed linear portfolio decision
EVT0106,SKU001,Sales ask,High,47682.21,Sales ask tied to recessed linear portfolio decision
EVT0107,SKU001,Quality signal,Medium,45620.99,Quality signal tied to recessed linear portfolio decision
EVT0108,SKU001,Collateral gap,High,22504.88,Collateral gap tied to recessed linear portfolio decision
EVT0109,SKU001,Ops exception,Watch,39145.88,Ops exception tied to recessed linear portfolio decision
EVT0110,SKU001,Sales ask,Watch,45110.97,Sales ask tied to recessed linear portfolio decision
EVT0111,SKU001,Collateral gap,Medium,50020.35,Collateral gap tied to recessed linear portfolio decision
EVT0112,SKU037,Quality signal,Medium,27472.88,Quality signal tied to controls ready kits portfolio decision
EVT0113,SKU037,Quality signal,Medium,43494.9,Quality signal tied to controls ready kits portfolio decision
EVT0114,SKU037,Quality signal,Medium,73963.44,Quality signal tied to controls ready kits portfolio decision
EVT0115,SKU037,Sales ask,High,9874.78,Sales ask tied to controls ready kits portfolio decision
EVT0116,SKU037,Ops exception,High,51177.24,Ops exception tied to controls ready kits portfolio decision
EVT0117,SKU039,Customer quote,Watch,67187.74,Customer quote tied to controls ready kits portfolio decision
EVT0118,SKU039,Ops exception,Watch,44375.6,Ops exception tied to controls ready kits portfolio decision
EVT0119,SKU039,Engineering review,Medium,71979.87,Engineering review tied to controls ready kits portfolio decision
EVT0120,SKU039,Customer quote,High,24810.74,Customer quote tied to controls ready kits portfolio decision
EVT0121,SKU039,Quality signal,Watch,37892.86,Quality signal tied to controls ready kits portfolio decision
EVT0122,SKU039,Ops exception,Watch,17486.24,Ops exception tied to controls ready kits portfolio decision
EVT0123,SKU005,Sales ask,Medium,53245.51,Sales ask tied to recessed linear portfolio decision
EVT0124,SKU005,Customer quote,High,40233.51,Customer quote tied to recessed linear portfolio decision
EVT0125,SKU005,Sales ask,Watch,57515.61,Sales ask tied to recessed linear portfolio decision
EVT0126,SKU005,Engineering review,Medium,64181.67,Engineering review tied to recessed linear portfolio decision
EVT0127,SKU005,Customer quote,High,66576.81,Customer quote tied to recessed linear portfolio decision
EVT0128,SKU005,Quality signal,Watch,43359.2,Quality signal tied to recessed linear portfolio decision
EVT0129,SKU005,Engineering review,Watch,46924.2,Engineering review tied to recessed linear portfolio decision
EVT0130,SKU038,Sales ask,Watch,45729.79,Sales ask tied to controls ready kits portfolio decision
EVT0131,SKU038,Sales ask,Watch,26171.71,Sales ask tied to controls ready kits portfolio decision
EVT0132,SKU038,Engineering review,Medium,75265.42,Engineering review tied to controls ready kits portfolio decision
EVT0133,SKU038,Collateral gap,Medium,37093.41,Collateral gap tied to controls ready kits portfolio decision
EVT0134,SKU038,Quality signal,High,14433.95,Quality signal tied to controls ready kits portfolio decision
EVT0135,SKU038,Collateral gap,Medium,45015.17,Collateral gap tied to controls ready kits portfolio decision
EVT0136,SKU038,Engineering review,Medium,16737.32,Engineering review tied to controls ready kits portfolio decision
EVT0137,SKU038,Engineering review,Medium,70105.97,Engineering review tied to controls ready kits portfolio decision
EVT0138,SKU031,Sales ask,High,23900.33,Sales ask tied to contractor packages portfolio decision
EVT0139,SKU031,Ops exception,Watch,40479.98,Ops exception tied to contractor packages portfolio decision
EVT0140,SKU031,Quality signal,Watch,54950.73,Quality signal tied to contractor packages portfolio decision
EVT0141,SKU031,Ops exception,Medium,37296.56,Ops exception tied to contractor packages portfolio decision
EVT0142,SKU019,Quality signal,High,64044.34,Quality signal tied to acoustic pendants portfolio decision
EVT0143,SKU019,Sales ask,Watch,14923.97,Sales ask tied to acoustic pendants portfolio decision
EVT0144,SKU019,Customer quote,Watch,18850.95,Customer quote tied to acoustic pendants portfolio decision
EVT0145,SKU019,Engineering review,Medium,44040.86,Engineering review tied to acoustic pendants portfolio decision
EVT0146,SKU019,Collateral gap,Watch,76187.88,Collateral gap tied to acoustic pendants portfolio decision
EVT0147,SKU019,Ops exception,Watch,67590.19,Ops exception tied to acoustic pendants portfolio decision
EVT0148,SKU002,Customer quote,Medium,54425.93,Customer quote tied to recessed linear portfolio decision
EVT0149,SKU002,Sales ask,Medium,42661.69,Sales ask tied to recessed linear portfolio decision
EVT0150,SKU002,Customer quote,High,55684.8,Customer quote tied to recessed linear portfolio decision
EVT0151,SKU002,Ops exception,Watch,17837.1,Ops exception tied to recessed linear portfolio decision
EVT0152,SKU035,Quality signal,High,20908.38,Quality signal tied to contractor packages portfolio decision
EVT0153,SKU035,Ops exception,High,55693.72,Ops exception tied to contractor packages portfolio decision
EVT0154,SKU035,Quality signal,High,47371.74,Quality signal tied to contractor packages portfolio decision
EVT0155,SKU035,Ops exception,Medium,20469.94,Ops exception tied to contractor packages portfolio decision
EVT0156,SKU035,Engineering review,Watch,58322.86,Engineering review tied to contractor packages portfolio decision
EVT0157,SKU035,Customer quote,Medium,33970.23,Customer quote tied to contractor packages portfolio decision
EVT0158,SKU026,Ops exception,Medium,30534.24,Ops exception tied to healthcare luminaires portfolio decision
EVT0159,SKU026,Ops exception,High,45894.19,Ops exception tied to healthcare luminaires portfolio decision
EVT0160,SKU026,Collateral gap,Watch,48519.35,Collateral gap tied to healthcare luminaires portfolio decision
EVT0161,SKU026,Collateral gap,Medium,47440.06,Collateral gap tied to healthcare luminaires portfolio decision
EVT0162,SKU026,Customer quote,Medium,74519.33,Customer quote tied to healthcare luminaires portfolio decision
EVT0163,SKU026,Collateral gap,Watch,64740.02,Collateral gap tied to healthcare luminaires portfolio decision
EVT0164,SKU026,Customer quote,High,59473.63,Customer quote tied to healthcare luminaires portfolio decision
EVT0165,SKU014,Sales ask,High,48177.95,Sales ask tied to architectural downlights portfolio decision
EVT0166,SKU014,Ops exception,Watch,62561.94,Ops exception tied to architectural downlights portfolio decision
EVT0167,SKU014,Sales ask,High,64772.11,Sales ask tied to architectural downlights portfolio decision
EVT0168,SKU014,Collateral gap,Watch,73996.12,Collateral gap tied to architectural downlights portfolio decision
EVT0169,SKU014,Customer quote,Watch,11722.34,Customer quote tied to architectural downlights portfolio decision
EVT0170,SKU014,Quality signal,Medium,44891.37,Quality signal tied to architectural downlights portfolio decision
EVT0171,SKU015,Sales ask,Watch,61617.13,Sales ask tied to architectural downlights portfolio decision
EVT0172,SKU015,Ops exception,High,52939.79,Ops exception tied to architectural downlights portfolio decision
EVT0173,SKU015,Customer quote,High,13318.81,Customer quote tied to architectural downlights portfolio decision
EVT0174,SKU015,Quality signal,Medium,57680.6,Quality signal tied to architectural downlights portfolio decision
EVT0175,SKU015,Engineering review,Medium,34458.77,Engineering review tied to architectural downlights portfolio decision
EVT0176,SKU015,Sales ask,Watch,44141.82,Sales ask tied to architectural downlights portfolio decision
EVT0177,SKU015,Quality signal,Medium,75958.43,Quality signal tied to architectural downlights portfolio decision
EVT0178,SKU024,Sales ask,High,66441.24,Sales ask tied to acoustic baffles portfolio decision
EVT0179,SKU024,Quality signal,Medium,53407.52,Quality signal tied to acoustic baffles portfolio decision
EVT0180,SKU024,Collateral gap,High,19247.11,Collateral gap tied to acoustic baffles portfolio decision
EVT0181,SKU024,Collateral gap,Medium,10680.99,Collateral gap tied to acoustic baffles portfolio decision
EVT0182,SKU024,Ops exception,Medium,56152.1,Ops exception tied to acoustic baffles portfolio decision
EVT0183,SKU024,Engineering review,Watch,51424.45,Engineering review tied to acoustic baffles portfolio decision
EVT0184,SKU024,Quality signal,Watch,24200.9,Quality signal tied to acoustic baffles portfolio decision
EVT0185,SKU004,Quality signal,Watch,74591.41,Quality signal tied to recessed linear portfolio decision
EVT0186,SKU004,Collateral gap,High,44359.54,Collateral gap tied to recessed linear portfolio decision
EVT0187,SKU004,Quality signal,Watch,13784.81,Quality signal tied to recessed linear portfolio decision
EVT0188,SKU004,Sales ask,Medium,64146.25,Sales ask tied to recessed linear portfolio decision
EVT0189,SKU028,Quality signal,Watch,14625.89,Quality signal tied to healthcare luminaires portfolio decision
EVT0190,SKU028,Ops exception,High,71863.43,Ops exception tied to healthcare luminaires portfolio decision
EVT0191,SKU028,Customer quote,Medium,59205.74,Customer quote tied to healthcare luminaires portfolio decision
EVT0192,SKU028,Collateral gap,High,74627.21,Collateral gap tied to healthcare luminaires portfolio decision
EVT0193,SKU028,Collateral gap,High,73623.03,Collateral gap tied to healthcare luminaires portfolio decision
EVT0194,SKU028,Quality signal,Medium,49410.29,Quality signal tied to healthcare luminaires portfolio decision
EVT0195,SKU028,Quality signal,Medium,12345.44,Quality signal tied to healthcare luminaires portfolio decision
EVT0196,SKU036,Collateral gap,Watch,19885.68,Collateral gap tied to controls ready kits portfolio decision
EVT0197,SKU036,Sales ask,Watch,50850.62,Sales ask tied to controls ready kits portfolio decision
EVT0198,SKU036,Sales ask,Watch,37320.43,Sales ask tied to controls ready kits portfolio decision
EVT0199,SKU036,Collateral gap,High,61501.38,Collateral gap tied to controls ready kits portfolio decision
EVT0200,SKU036,Ops exception,Medium,58328.24,Ops exception tied to controls ready kits portfolio decision
EVT0201,SKU036,Sales ask,Watch,47661.83,Sales ask tied to controls ready kits portfolio decision
EVT0202,SKU032,Engineering review,Watch,70977.34,Engineering review tied to contractor packages portfolio decision
EVT0203,SKU032,Engineering review,Medium,72483.56,Engineering review tied to contractor packages portfolio decision
EVT0204,SKU032,Collateral gap,Medium,20154.37,Collateral gap tied to contractor packages portfolio decision
EVT0205,SKU032,Ops exception,Medium,21686.48,Ops exception tied to contractor packages portfolio decision
EVT0206,SKU032,Collateral gap,High,21483.83,Collateral gap tied to contractor packages portfolio decision
EVT0207,SKU032,Customer quote,Medium,18034.82,Customer quote tied to contractor packages portfolio decision
EVT0208,SKU032,Customer quote,Watch,46470.11,Customer quote tied to contractor packages portfolio decision
EVT0209,SKU029,Collateral gap,High,10632.0,Collateral gap tied to healthcare luminaires portfolio decision
EVT0210,SKU029,Quality signal,Medium,69824.76,Quality signal tied to healthcare luminaires portfolio decision
EVT0211,SKU029,Quality signal,Medium,60125.91,Quality signal tied to healthcare luminaires portfolio decision
EVT0212,SKU029,Ops exception,Watch,60513.35,Ops exception tied to healthcare luminaires portfolio decision
EVT0213,SKU029,Customer quote,Medium,8478.9,Customer quote tied to healthcare luminaires portfolio decision
EVT0214,SKU013,Engineering review,Medium,64572.51,Engineering review tied to architectural downlights portfolio decision
EVT0215,SKU013,Sales ask,High,68327.49,Sales ask tied to architectural downlights portfolio decision
EVT0216,SKU013,Collateral gap,Medium,47994.21,Collateral gap tied to architectural downlights portfolio decision
EVT0217,SKU013,Sales ask,High,26658.62,Sales ask tied to architectural downlights portfolio decision
EVT0218,SKU013,Customer quote,Watch,65315.12,Customer quote tied to architectural downlights portfolio decision
EVT0219,SKU013,Ops exception,Medium,14558.76,Ops exception tied to architectural downlights portfolio decision
EVT0220,SKU018,Customer quote,Watch,41622.56,Customer quote tied to acoustic pendants portfolio decision
EVT0221,SKU018,Quality signal,Watch,38716.45,Quality signal tied to acoustic pendants portfolio decision
EVT0222,SKU018,Customer quote,Medium,43687.79,Customer quote tied to acoustic pendants portfolio decision
EVT0223,SKU018,Engineering review,Watch,39487.82,Engineering review tied to acoustic pendants portfolio decision
EVT0224,SKU018,Engineering review,Medium,58611.33,Engineering review tied to acoustic pendants portfolio decision
EVT0225,SKU018,Customer quote,Medium,31097.3,Customer quote tied to acoustic pendants portfolio decision
EVT0226,SKU034,Engineering review,Medium,39799.91,Engineering review tied to contractor packages portfolio decision
EVT0227,SKU034,Collateral gap,Medium,29498.09,Collateral gap tied to contractor packages portfolio decision
EVT0228,SKU034,Collateral gap,Medium,14208.14,Collateral gap tied to contractor packages portfolio decision
EVT0229,SKU034,Sales ask,Medium,21659.99,Sales ask tied to contractor packages portfolio decision
EVT0230,SKU034,Quality signal,Watch,26565.38,Quality signal tied to contractor packages portfolio decision
EVT0231,SKU017,Sales ask,High,56146.16,Sales ask tied to acoustic pendants portfolio decision
EVT0232,SKU017,Collateral gap,Watch,25351.39,Collateral gap tied to acoustic pendants portfolio decision
EVT0233,SKU017,Sales ask,Medium,60810.98,Sales ask tied to acoustic pendants portfolio decision
EVT0234,SKU017,Collateral gap,Medium,26441.52,Collateral gap tied to acoustic pendants portfolio decision
EVT0235,SKU017,Collateral gap,Medium,22668.11,Collateral gap tied to acoustic pendants portfolio decision
EVT0236,SKU007,Quality signal,Watch,38502.57,Quality signal tied to suspended linear portfolio decision
EVT0237,SKU007,Collateral gap,High,23406.25,Collateral gap tied to suspended linear portfolio decision
EVT0238,SKU007,Sales ask,High,67435.95,Sales ask tied to suspended linear portfolio decision
EVT0239,SKU007,Ops exception,Medium,56171.15,Ops exception tied to suspended linear portfolio decision
EVT0240,SKU007,Collateral gap,High,69333.27,Collateral gap tied to suspended linear portfolio decision
EVT0241,SKU016,Sales ask,High,15563.07,Sales ask tied to acoustic pendants portfolio decision
EVT0242,SKU016,Engineering review,Medium,68316.03,Engineering review tied to acoustic pendants portfolio decision
EVT0243,SKU016,Collateral gap,Medium,52722.4,Collateral gap tied to acoustic pendants portfolio decision
EVT0244,SKU016,Engineering review,Watch,20221.73,Engineering review tied to acoustic pendants portfolio decision
EVT0245,SKU016,Collateral gap,Medium,64720.74,Collateral gap tied to acoustic pendants portfolio decision
EVT0246,SKU016,Quality signal,High,14563.53,Quality signal tied to acoustic pendants portfolio decision
EVT0247,SKU016,Engineering review,Watch,35566.04,Engineering review tied to acoustic pendants portfolio decision
EVT0248,SKU016,Customer quote,High,63303.38,Customer quote tied to acoustic pendants portfolio decision
EVT0249,SKU009,Customer quote,Watch,39261.35,Customer quote tied to suspended linear portfolio decision
EVT0250,SKU009,Collateral gap,Watch,13493.93,Collateral gap tied to suspended linear portfolio decision
EVT0251,SKU009,Quality signal,Watch,31860.98,Quality signal tied to suspended linear portfolio decision
EVT0252,SKU009,Quality signal,High,57140.21,Quality signal tied to suspended linear portfolio decision
EVT0253,SKU009,Collateral gap,High,57985.26,Collateral gap tied to suspended linear portfolio decision
EVT0254,SKU009,Engineering review,Watch,67851.46,Engineering review tied to suspended linear portfolio decision
EVT0255,SKU003,Sales ask,Medium,9139.95,Sales ask tied to recessed linear portfolio decision
EVT0256,SKU003,Ops exception,High,17312.86,Ops exception tied to recessed linear portfolio decision
EVT0257,SKU003,Ops exception,Watch,12032.41,Ops exception tied to recessed linear portfolio decision
